utterance_id,speaker_id,utterance,gender
6cc451ea36,d945d,10 inch bass bin,m
d0c9b365e9,045af,10 inch bass bin,f
9472c58b78,1db0f,2009 wayamba election results,f
4fba09219d,0b586,2009 wayamba election results,f
f7c503922d,dff99,2012 calendar,f
9e82309ab8,4a53b,2013 new year,m
cc16d1a79a,92649,2013 new year,f
df57810941,1d339,2014 new year wishes,m
3549143ee6,c696a,2014 new year wishes,m
bfd25fd87b,4f3cd,2014 new year wishes,m
74d57bcd2b,95589,21st birthday cake,m
2d4504d839,d4fa9,21st birthday cake,f
c78628903b,a08e7,3d boys,m
c194aaa63e,9094b,3d boys,f
6b2bffd6b2,bae1a,3d games,m
0d20994b73,8b124,3d man images,f
83980ab9dd,54c3a,3d man images,f
e9faa9b6a0,51515,3d nature animals wallpapercom,m
525471010d,8e63d,3d nature animals wallpapercom,f
b07fb4a09a,2df96,3d pencil drawing,f
4535536bc8,4b05c,3d photos,m
bf360d2cfd,a3d94,3d waterfall photos,m
73116aca53,cd0b3,Aijth,m
f0377395e8,15cf5,Aijth,f
33072fb2e1,c6f6b,Aluthgama,f
b437f2b8f4,30661,Aluthgama attack,f
5a29ba045d,45feb,Amaradewa,m
554c18872e,0e375,Amaradewa,m
92a790050c,8957e,Amarasiri Pieris,m
d09b318954,74475,Anagarika Dharmapala,f
4129478c45,81570,Ananda,f
0fbba7e6e5,97d0a,Ananda college,m
3c359cda99,02f82,Ananda college,m
84ec6c047a,c11e1,Ananda college,f
272fade13a,58355,Ananda college,m
163a943a1f,76999,Angelo Mathews,m
54ee55f0b8,44978,Angelo Mathews,m
bbc9787b6b,df981,Anuradapura,m
6c71837c7b,237d4,Aranthalawa,f
8ad30fb8e1,e1e01,Aranthalawa,f
e90a160930,ea3c6,Aranthalawa,m
0ec139b6a8,4f3cd,Bahrain housemaid job,m
e89047e47e,1d339,Bahrain housemaid job,m
653daba8df,93c65,Bahrain housemaid job,m
a68a86ffc3,23329,Bandara,f
71309ce5bf,d1c44,Bangkok,f
ef9449ee49,72337,Bank of ceylon,m
2c455fad86,bced5,Kuwait,m
bfb5861e42,c1691,Mercedes benz car,m
4c8ac7a106,9094b,Mercedes benz car,f
79888afd51,ec9a8,Nepal president picture,f
b05851a61b,fb100,OL exam result,f
2be5334969,cd0b3,OL exam result 2013,m
af6380a8fc,295d7,OL results,m
18ceaf8df9,bafa0,OL results 2012,f
76004f39bc,05d76,Olympic,f
abdce0b474,52dbc,Olympic,m
d5b876009d,00349,aat sri lanka,m
3a131816fa,ed4c3,aat sri lanka,f
0fe1e5d505,024f4,aba,m
65622a18e1,b7163,abans,f
8e5af2f184,227d7,abans,f
fd5c8343f3,309ce,abaya work designs with stone,m
ef15865942,d94a9,abaya work designs with stone,m
ffaa93fed5,ac581,abc songs,f
fdf2ef5238,03500,abeetha diyani in sinhala,m
722aca9a41,295d7,about sinhala rock,m
08b7868efd,77895,ac drop dc led circuits,m
c0626e369c,a6493,accessories,f
d80a2c09b0,2df96,accessories for less,f
6b283f7cd6,3f5d5,accessories for lumia 521,m
38a5267045,d9b9c,accessories for lumia 521,f
7509cf8b5a,fe361,accessories for nokia lumia 1520,m
26756199f2,77895,accessories for nokia lumia 1520,m
7f9d40cff2,1afa7,accessories ford,m
f0251b6f8b,c6a4f,accessories palace,f
