utterance_id,speaker_id,gender
0000f47c22,7ab05,f
000101700f,44e28,f
000107b539,b1a64,f
00016825d3,2fff2,f
000171b8fd,d6ccd,m
00018c30ff,88c80,m
0002205a57,ccf7a,m
00027ad5ee,0a2fe,m
000285f6ac,bced5,m
0002dd5edb,f3efc,f
000322a647,d4fa9,f
000366061b,3be3a,m
0003cebffe,6054f,f
00045cdced,a0028,m
0004e20896,14f37,f
000539c068,3d027,f
00054933a4,d9b9c,f
0005ab4c83,da449,f
000614f14c,1db0f,f
0006afc278,09ecc,f
0006e022de,7e3d4,m
0006fcb914,be485,f
0007379e15,9f1f5,m
0007634ca3,1d339,m
000772b4de,df981,m
0007ff1aa5,33901,f
00081ce8d5,45f15,f
00083472df,f2ef0,f
0008384c54,f2931,m
00096385cc,c6a4f,f
00098083c0,3489d,m
0009f01858,ee3d2,m
0009f364e0,cc837,f
000a29b633,3fa09,m
000ab89be5,c8454,f
000b27064a,4f068,f
000b55592c,f4f83,f
000bb8ae7d,78366,m
000bca029f,2f415,f
000c6cfeb6,4b127,m
000ce64f13,40381,m
000cf64e89,0e86b,f
000da5a66b,e8724,m
000dbe6cf9,71b3e,f
000dd8050f,23e9e,f
000ea20dbf,effa6,m
000f3ee036,b7510,m
000fdb9064,3a747,f
001059edc8,bae1a,m
0010db9a60,d4430,m
001183b677,4b05c,m
00122c8e9d,41947,m
00128c9ad8,be2e9,f
00129d7201,5d099,m
00133d910b,89f4f,f
001370ddca,d7784,f
00139136e2,47746,f
0014885fbd,c3bd0,f
00150b06a3,be341,m
00161a961c,00349,m
001639f64a,ac562,m
001688c1a9,d23af,m
00173c6f3a,0b586,f
001929e757,30661,f
001a974da5,92637,f
001d6df64f,f71ec,f
001d916757,b6ca9,f
001d989799,d7f61,f
001e2cbc21,11528,f
001e46a75a,64af4,m
001ef778d6,501f8,f
001ef809ba,746ff,f
001f0191bd,2df96,f
001f3b591c,06105,f
001f786a2c,db538,f
001f861d5d,23e9b,f
00202efd8b,f2348,m
00203fede9,b7054,m
0021614901,4a724,f
0021cd8d8d,21138,m
0021f14c5b,a742b,m
0021f62162,d6ab0,f
0021fa324d,6b5e6,m
002261e74b,589b0,m
0024b4aac4,40a63,f
0024f74862,02b89,m
0024fe0655,f0169,f
002605e88c,c094f,m
00265e7efc,59778,f
0026d9a34d,5b275,f
00274fc733,e6e7b,f
0027c33491,271cb,m
0027e2e160,60ae5,m
002845a7b6,a7c07,m
0028473196,8b8a4,m
0028b2eb65,65469,f
0029186d32,cf582,m
002980356a,3e0de,f
002a5450c5,a3a6a,f
002aa96cde,42cde,m
002ae71573,10824,f
002c20f284,6e92f,f
002cc067f7,295d7,m
002e2b91a8,e3ad7,f
002e5f19a3,72337,m
002e980925,cd0b3,m
002f5dccc4,dd6f8,m
002fb83849,85ebd,f
0030296395,40953,m
0030658db9,ce989,m
0030a2dd26,77b4b,f
0030f7c340,0e1e0,f
00311ace77,ad58a,m
0032de2d6a,ff39f,f
0032e080f5,937dc,f
003351064b,d1b3d,f
003405381b,1a317,m
00344f5941,e3235,m
00346e0566,2a845,m
0034a24722,af4ca,f
0034c99501,fc853,m
0035ad8246,3fcd4,f
0035f9f428,5c543,f
00363881d7,0b370,m
0037044ab2,a4315,f
003746ec9e,f200a,m
0037a38efe,290a8,m
0037c2ce94,1a1f3,m
0037c64efa,c95d0,m
00383da891,bc55f,f
0038b68ebe,9094b,f
003a027c8b,85aeb,f
003a62370b,a5886,m
003aab1644,54242,f
003b0b945e,80862,m
003b8d2998,ec9a8,f
003b9f4523,3a976,m
003bf8e5f7,dca20,m
003c5f1f96,338ff,m
003c71086a,8e991,m
003cd28dba,be173,f
003ce616d2,76999,m
003d81317a,8eb5c,m
003da956fa,781cf,m
003df4c6bc,abbea,m
003e4766af,357e6,f
003f028c94,349a2,f
003f19149d,d0123,f
003f5dd037,fe011,m
004033245b,a08e7,m
0040d2e344,1b014,m
0041c37165,ac581,f
0041e3e888,ab81c,f
0042c5ee2d,df38e,f
0042dfc9c1,045af,f
0043e40e0f,34e38,m
00442cd378,f3204,f
004645361d,b6388,m
0046e591a0,02f82,m
0047065141,93c65,m
00477d9a6d,2db87,m
0048216fc6,bb0e6,f
004863b209,bba51,m
0048ff281e,8957e,m
004944ff0c,e42fe,f
004967f820,1575e,f
0049cec860,7db06,m
004a76c645,05d76,f
004a85169f,11742,m
004c52f719,02578,f
004c858620,2b212,f
004cd079cf,fda64,m
004e304d18,225dc,m
004e7a7986,29f4f,f
004ea23c02,fefdf,f
004ef323d2,c2201,m
004f37131a,cf7b2,f
004fe1bc2f,95589,m
005027ba11,ed4c3,f
005085b9a3,98088,f
00514f1999,46a48,m
005416d369,53c73,m
00547c7bab,3d532,f
00550ab858,73ec9,f
0055102663,32358,f
0055bde55e,06d5c,m
00560f0a7f,0a38f,f
00566e6980,94b34,f
0057155cf4,0184c,f
00580cb86c,41a77,f
005878a0c5,3eb66,f
00594d1d0c,babec,m
00596cfe53,fb100,f
005980c194,96564,m
0059aa8be0,781ce,f
005a19eefb,3183b,f
005a37cc76,b704b,m
005a46e108,34e56,m
005aa28173,55ab9,m
005ad8dd8a,60906,f
005ae452ee,4b1d7,m
005bcfcc65,c5a59,m
005c58d2b3,a6493,f
005cb81476,f9391,m
005ce99977,4b5d0,m
005eabb480,a3d94,m
005fc62ba1,646e1,f
00604eb644,15e2b,m
006069fa00,dabc0,m
0060cc1bb5,0fcb7,m
006117976e,f5954,f
006141cb7a,227d7,f
00614cb9f6,912d1,f
0061669f6f,1ccf9,m
00625c23e1,309ce,m
0062b6887e,23329,f
0062fa8175,2e893,m
00636e373a,4b1be,f
0063f7b3b9,b9dc2,f
0065429c95,190e9,f
0065c2f5ba,b3dda,f
00672afb18,3386d,f
0068cfab15,7f4b1,f
0069b4e268,9d5b3,f
006a879be7,016b5,f
006cbf63d0,6c5e8,m
006ceadc3c,0e375,m
006ea38785,84afe,f
006f04ccb6,b3a0c,f
00700804ff,5dec9,m
0070ac181b,03b7a,m
0070ba4a63,15cf5,f
00736b26bf,03500,m
00738d6f64,8af08,m
0074a26709,e61f1,f
0074aca453,b06d1,m
0074d1cc12,a7b6a,f
007525191f,5b471,m
00768d488f,c4922,m
0077143fbc,55c20,m
00779dfca6,574a5,m
007831fccf,d1c44,f
007b1cd618,1afa7,m
007b775aa3,bd2b2,f
007bc9c284,1f5ff,m
007e2302af,760be,f
007e2b81e9,82082,m
007eb8cb88,5a4cf,f
007efdd374,7d982,m
007f1a4ae6,f0a29,f
007f31ff0a,4e81e,f
007fb87aa6,dff99,f
0080ee5c99,f32c3,f
0081714ef7,206b6,f
0081976804,70278,f
00830865bb,f3aed,m
00875730ce,f40d9,m
0089b97329,d2f72,m
0089f99d53,77895,m
008a54d547,023c3,f
008aea0f5d,72b54,f
008e8198ee,88a58,f
008f584546,8b124,f
008f959981,74475,f
0090227130,c26e2,f
009070de9f,fe361,m
00922961cd,89130,f
0092e2bdcb,92649,f
0093c9f0c6,fc710,f
009514fb5e,f3f41,f
0095f0bf24,13abb,f
0096369940,b8a97,f
009668e441,e5259,f
009803ee71,252fd,f
0098ad5d0b,6064f,f
0098e4592e,d94a9,m
0098ec497b,d71b2,f
009a4e6eff,b3777,m
009a763897,d52f0,f
009ab6891d,8827b,f
009abd611c,ddb8f,f
009afebdb4,438c8,m
009b3c3386,09537,f
009dc2da15,2d52b,f
009e99ed41,87c4c,m
009f84c1e3,81570,f
00a134aedd,ed0c5,m
00a1eac3bc,0e353,m
00a2ec1a6a,936a6,f
00a533bfd8,8e63d,f
00a5bf6162,7b332,m
00a6370fc2,dc5ef,f
00a6c1b7ad,7710d,m
00a9486825,fa2d3,m
00a9cb9500,7ec98,f
00aacc4a55,4801b,f
00ac064e6b,e1e01,f
00ac3f8584,c6f6b,f
00ac58fed1,2ea36,f
00ace323fc,52dbc,m
00ad005ed8,5afae,f
00af56a961,ff3fa,f
00af6847fe,6996c,m
00afcd410a,f8790,m
00b275c201,c34c2,m
00b322001b,d6d03,m
00b3b6238e,d78dd,m
00b3d19ff3,7599b,m
00b7c4d816,0eee9,f
00b7f97c08,ae3ff,m
00b9ee4cd6,97d0a,m
00ba4447f6,4a53b,m
00ba9520fe,1913e,f
00babb5be2,bafa0,f
00baec11ac,9125c,f
00baff0135,9e6d1,m
00bb0283ea,e9148,m
00bdcac1ae,ee9b8,m
00be8162c7,3dd78,m
00bf1ea871,95997,f
00bfbb9374,3139c,f
00c1193922,6dcd3,f
00c24f4fe1,be843,m
00c2a470cf,c28da,m
00c42f8267,40e62,f
00c56d9615,23c9f,m
00c5f5ae66,b796c,m
00c7b476c9,409ee,m
00c7eb8b13,0224d,m
00c9165214,476be,f
00ca43ea1c,7ba10,m
00cc01a5e1,a973b,m
00cc1263f1,4b215,f
00cc67bcb8,bac38,f
00ce7baffb,44978,m
00cf156d49,6f51b,m
00cf90c05d,75985,m
00d3c5afd7,37790,f
00d494a2fe,d6c85,m
00d6d80bcb,0622a,f
00d6e70098,91589,m
00d9ff03cc,0eea5,f
00daf3d8cd,b7163,f
00daf728fc,7374d,f
00db626e5c,0766f,f
00dbfd8a1d,f0098,m
00def60cea,c04d5,f
00e06b85e4,f7f4f,f
00e36d6be1,2e076,f
00e43b58c9,f9563,m
00e471b047,cb54b,m
00e9187113,715da,f
00e945b046,a7d05,f
00eaf7f214,09bf2,f
00efba408a,3f57d,m
00f238383b,dc245,f
00f3be38ec,acbee,m
00f5939f38,72f9d,m
00f68fd5d2,2a1cd,m
00f7cf8097,30026,f
00fd636a81,231ca,m
00ff345ffd,e47dc,m
00ff4e88e5,c11e1,f
0103042ecd,c1691,m
010418d1e8,89830,f
0104cef3d7,c8784,f
0106c0024a,6e111,m
0107927869,361fc,m
01085e94ed,b9679,m
0108b3a931,778ef,m
010a9ad78b,cb1fe,f
010c27d047,a1577,m
010c444a50,880bc,m
0111281d5d,7d7d0,f
01122c8fe4,39cc4,f
011296b10e,fd786,f
01137a9547,b136f,f
01139d95cc,a7708,m
0113a40caa,2bc1e,f
0113ad99de,ffa9f,f
01166f322f,aa29c,f
01193a95d0,e8ec1,m
011a49036b,b0095,m
011bf06e5a,b8589,f
011e19d305,3bfb3,f
011e1cf577,8c558,f
011e658fff,8fa6b,f
011f3c343a,a9c56,f
011fa986a0,dd43a,m
01269e596d,eae99,m
01298ba0cc,d316f,f
012a4f7526,95423,f
012d55ad5f,e0b70,f
012e2b4f75,e5fb8,m
012fb3ed1d,9a1ed,f
0132975110,237d4,f
01355cfb0e,8f885,m
013b00f8e0,c1715,m
0149b32cae,4f3cd,m
014b248d38,7b561,f
01547cd475,466d8,f
015a5b2876,17bfd,f
015ad38a75,199c3,f
015f827f2f,a360d,m
01642ca3bf,67c8b,f
0164d19ef9,6fa50,f
0165ae6f70,8af52,f
016b880971,45feb,m
016fb6f0e8,156fe,f
01704ab48a,51515,m
01714f8134,e35a8,f
01727de640,284b7,m
