utterance_id,speaker_id,utterance,gender
afdf5d7e9b,23c9f,02දේශපාලන අංශය 03,m
426df4d20b,60906,1 2 3 4 5 යන පිළිතුරු වලින්,f
ac073c2d03,c11e1,10 සූත්රයේ දක්වන්නේ මෙසේ ය,f
9182d178b9,309ce,12 වන සියවසේ රචිත අමාවතුර ගද්ය කාව්යයේ දැක්වේ,m
c33092a387,df38e,15 වන සියවසේ මධ්ය භාගයේදී රජකළ,f
dba3df55d3,40953,1818 දී උඩරට කැරැල්ල හට ගැනීමයි,m
3a8810bc2a,32337,1818 දී උඩරට කැරැල්ල හට ගැනීමයි,m
080a1396e5,88a58,1854 නොවැම්බර් මස 27වන දිනදීය,f
9d7af13998,9e6d1,1854 නොවැම්බර් මස 27වන දිනදීය,m
5f6625dc53,c26ed,1905 තරම් වූ වකවානුවක,f
7602bf3e60,81570,1905 තරම් වූ වකවානුවක,f
936868d71c,d4fa9,1905 තරම් වූ වකවානුවක,f
9f88965f9d,d2f72,1915 දෙසැම්බර් 31 වනදා පින්වත්,m
0c92c3b8d0,4b1d7,1940 ජුනි මස 06 වන දින,m
95fca9bd4b,9094b,1940 ජුනි මස 06 වන දින,f
8d00de302f,51515,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,m
f6739aaeb6,f200a,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,m
80882ba9fe,2d52b,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,f
0d8d5fc6a1,936a6,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,f
f2d1380036,fefdf,1955 දී සීගිරිය මහානාග පබ්බත විහාරයට අයත්,f
2d37e6b90a,effa6,1955 සැප්තැම්බර් 21 වැනිදා අපවත්වී වදාළහ,m
b073306edf,3489d,1960 දශකයේ සිට පවත්වාගෙන එනු ලබන,m
31e117d02c,3d027,1961 චින්තක සඟරාවේ,f
31d4b73726,05d76,19631123 වෙනි දින,f
ff1c0044ba,574a5,1964 අගෝස්තු 9 වැනිදා,m
4b31a508ec,4f3cd,1964 අගෝස්තු 9 වැනිදා,m
0be9b9fe0d,75985,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m
22eccf4a71,78366,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m
45c93ba660,1575e,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,f
