utterance_id,speaker_id,utterance,gender,utterance_words
0027e2e160,60ae5,ඉරිදා අපරභාග 810 ට ලබයි,m,ඉරිදා අපර භාග අටයි දහයට ලබයි
0125acf64c,715da,මීළඟ පෝය සැප්තැම්බර් 15 වැනි දා සෙනසුරාදාය,f
01a76fde41,a742b,මී ළඟ පෝය ජනවාරි 14 වන දා බ්‍රහස්පතින්දා ය,m
02478a3f8a,c1715,7 2 කෘතියෙහි 338 පිටුවෙහි ය,m
0316b44759,8af08,මීළඟ පෝය ජනවාරි මස 05 වැනි දා සෙනසුරාදා ය,m
038cd7f443,252fd,මාර්තු 19 වන දා සෙනසුරාදා,f
04269c37b9,91403,අඩි 1 අඟල් 8 ක් උසැති,m
0437ee4c2f,ee066,අපහාස නොකළ යුතුය3,m
04838f74ec,95997,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,f
048e9cfaae,b9679,විදුලි බල්බ 30000 කින් සමන්විත වේ,m
04bb411d89,f9563,මැයි මස 16 වන දා,m
04fff64765,023c3,වින්ඩෝස්8 හි ක්‍රියාකාරී පිටපතක්,f
05ccb06518,1575e,අප්‍රේල් 13 වැනිදා සිකුරාදා පූර්ව භාග 0451 ට ලබයි,f
06230d9dca,92637,මීළඟ පෝය මැයි මස 13 වනදා බ්‍රහස්පතින්දාය,f
06c5f73c24,7ab05,මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය,f
06f3efb695,3eb66,පූර්ව භාග 841 ට ලබයි,f
0733ae88ca,4f068,මුල් පියවර 04 අසාර්ථක වූ විට,f
080a1396e5,88a58,1854 නොවැම්බර් මස 27වන දිනදීය,f
09771ce5bf,58355,මිහින්තලයද එසේම අඩි 350ක් උස,m
0aae6dd410,2a1cd,එතුමා රුපියල් 500 දක්වා වැඩි කරන ලදී,m
0b2ab04f96,d71b2,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f
0b70e9be70,8e991,සම්පත් 04 ක් ගැන කියැවේ,m
0be9b9fe0d,75985,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m
0c306a1d56,912d1,සෙනසුරාදා අපරභාග 1156 ට ලබයි,f
0c92c3b8d0,4b1d7,1940 ජුනි මස 06 වන දින,m
0d8d5fc6a1,936a6,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,f
0d9fe479ec,3dd78,එය කාමර 105 කින් යුත්,m
0da84e4a6d,55ab9,දේවාල පෙරහර 04 ද ගමන් කරනු ලබයි,m
0e45173990,6996c,මුල් මාස 6 තුළ,m
0ed69c29e4,09bf2,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f
0f76946c22,1c3b9,භික්ෂූන් වහන්සේලා 203 නමක්,m
10dab2f401,78366,නව වින්8 සංස්කරනය සමග,m
130f5a4e21,4a53b,මේ මස 15 වැනි දා රද්දොළුගම ශ්‍රී බෝධිමළුවේ දී,m
143ab43489,be341,අපර භාග 0641 ට ලබයි,m
14950d9c20,2e893,ඇමරිකානු ඩොලර් බිලියන 50කට අධිකයි,m
153541ab7a,9d5b3,බුද්ධත්වය ලබා සති 8කින් නැත්නම් මාස දෙකක් ඉක්මගිය පසුවය,f
156cf8535e,0e86b,මෙම නිකාය ග්‍රන්ථ 5න් සුවිශේෂී කෘතියක්,f
15985113c5,55ab9,ඉරිදා පූර්වභාග 0233 ට ලබයි,m
1689eb7766,0bd84,විනාඩි 5 සිට පැය දක්වා දිවෙන බව,m
16c37bf7ab,d945d,2012 වසර වන විට,m
176d176b89,babec,2012 වසර වන විට,m
17b8c110d5,fc710,බිලියන 2 කට අධික,f
185e9832d9,e8ec1,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,m
19363bcfa4,a742b,නාමමාත්‍රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,m
1a07db63fe,8827b,පෙබරවාරි 29 වන දා,f
1a30c03a88,3fcd4,මාර්තු 01 සෙනසුරාදා,f
1a5c2adb7f,1a1f3,පැවැතිය යුතු උතුම් ගුණාංග 10 ක් විය,m
1c568a7da8,3be3a,මාර්තු මස 26 වැනිදා,m
1dc9c52188,c5a59,විනාඩි 5 සිට පැය දක්වා දිවෙන බව,m
20ca2ce794,e1e01,සෙනසුරාදා අපරභාග 919 ට ලබයි,f
222186171d,0e1e0,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්‍රහස්පතින්දා ය,f
224370b958,199c3,විස්සක් 20 පමණක් පිරිය යුතු වේ,f
225a8daf1d,df38e,ඇමරිකානු ඩොලර් බිලියන 50කට අධිකයි,f
2274686603,3fa09,අඟහරුවාදා අපරභාග 0422 ට ලබයි,m
22eccf4a71,78366,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m
23e5a7eaa9,abbea,එනම් 1අඤ්ඤදත්ථු හර,m
2447d0a5b6,0a2fe,බදාදා 0539 ට ලබයි,m
253a977a42,be485,සෙනසුරාදා අපරභාග 1156 ට ලබයි,f
255e4b80cc,c8454,පැය 4 ක් පාගමනින් ගොස්,f
264c24e140,cd0b3,අපරභාග 0549 ට ලබයි,m
284ce89dc8,a9c56,මීළඟ පෝය දෙසැම්බර් 20 වැනි බ්‍රහස්පතින්දා ය,f
2933bbca4d,02f82,එතුමා රුපියල් 500 දක්වා වැඩි කරන ලදී,m
2934918809,95423,දැනට වර්ෂ 13 කට පමණ පෙර,f
29ab1907ac,3bfb3,මීළඟ පෝය පෙබරවාරි 09 වැනි දා සෙනසුරාදා ය,f
29c5e8b458,0e86b,මීළඟ පෝය ජූලි මස 14 වනදා බ්‍රහස්පතින්දා ය,f
2a274d2739,0224d,ඉකුත් 01 වැනි දා සිට 08 වැනි දා දක්වා පැවැත්වේ,m
2a3b75b837,70278,අපර භාග 0641 ට ලබයි,f
2a56a4a08b,1ccf9,රද්දොළුගම 20130415 දින හදිසියේ අභාවප්‍රාප්ත වූ,m
2a9f409157,fb100,මෙය ක්‍රිව 1347 දී,f
2ab74ceedf,06105,මීළඟ පෝය අගෝස්තු 09 වන දා බ්‍රහස්පතින්දා ය,f
2b39d5df75,78366,අපර භාග 0753 දක්වා පෝය පවතී,m
2beb37c019,e42fe,මීළඟ පෝය සැප්තැම්බර් 20 වන දා අඟහරුවාදා ය,f
2c15734f09,a4315,එතුමන් වර්ෂ 1930 දී,f
2c175fac2e,0fcb7,3 වැනි ධර්ම සංගායනාව සිදු වූයේ,m
2c2ca21601,2e893,අප්‍රේල් 13 වැනිදා සිකුරාදා පූර්ව භාග 0451 ට ලබයි,m
2ce6aaba04,dff99,පැන නගින ඇතැම් ගැටලු 100 ක් පිළිබඳව,f
2d37e6b90a,effa6,1955 සැප්තැම්බර් 21 වැනිදා අපවත්වී වදාළහ,m
2e978d61f7,4801b,ධර්‍මාශෝක රජතුමා ඔටුනු පැළඳීමෙන් 18 වන වර්ෂයෙහිදී,f
2f20209b3c,8e63d,බුද්ධ වර්ෂ 385 දී පමණ ය,f
2fcb82a96b,4b215,රද්දොළුගම 20130415 දින හදිසියේ අභාවප්‍රාප්ත වූ,f
30158cb5af,6fa50,මාර්තු 01 වන දා බ්‍රහස්පතින්දා,f
302aa7d3ec,0b586,අනෙක් අතට පික්සල් 1080ක්ද ඇත,f
310c71bb87,ddb8f,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්‍රහස්පතින්දා ය,f
31d4b73726,05d76,19631123 වෙනි දින,f
31e117d02c,3d027,1961 චින්තක සඟරාවේ,f
3299208c55,0e375,2012 වසර වන විට,m
32e78a22ca,45f15,අක්කර 8 ක පමණ භූමි ප්‍රමාණයක් වසා,f
352d935d44,5a51f,පූර්ව භාග 0150 ට ලබයි,f
35d45ea60d,456e2,2009 දෙසැම්බර් මාසයේදී,m
3603a4cdfe,e61f1,ක්‍රිපූ 6 වැනි සියවසේ ය,f
37ef910c9e,bb0e6,ශිලාලිපි 1276 ක එකතුවක් පළකර ඇත,f
38e3314af7,f9563,බුද්ධ වර්ෂ 385 දී පමණ ය,m
38eb445e44,f2931,මුහුදු මට්ටමටත් වඩා මීටර් 418ක් පහළින් පිහිටි,m
38f51660ab,39cc4,මුල් පියවර 04 අසාර්ථක වූ විට,f
39c51efecb,3a976,සියයට 2530 අතර වේගය අතින් ඉදිරියෙන් සිටින බවටයි,m
39e7fa70f5,a7708,මාර්තු 02 දින,m
3a8810bc2a,32337,1818 දී උඩරට කැරැල්ල හට ගැනීමයි,m
3d91933776,91403,ජුනි 7 වනදා ඉරිදාය,m
3f578471c5,41947,මීළඟ පෝය සැප්තැම්බර් 08 වැනිදා සෙනසුරාදා ය,m
4006006787,0fcb7,සහල් කිලෝ ග්‍රෑම් 03 ක් පමණ,m
407c5c3128,e0b70,එබඳු දක්‍ෂතා 03 ක් පිළිබඳව,f
40ccbbd793,f0169,මාර්තු මස 23 වැනිදා,f
40dbe79fa5,a4315,බුද්ධත්වය ලබා සති 8කින් නැත්නම් මාස දෙකක් ඉක්මගිය පසුවය,f
410242d529,462e8,අවසානයේ 390 වන අපදානය හැටියට,f
41824273b9,89830,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්‍රහස්පතින්දා ය,f
420251e9f9,a5886,මීළඟ පෝය ජූනි 19 වැනි දා බ්‍රහස්පතින්දාය,m
426df4d20b,60906,1 2 3 4 5 යන පිළිතුරු වලින්,f
431dbc8f91,206b6,මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය,f
4373e78ef7,8e63d,මාර්තු මස 23 වැනිදා,f
4565c2ea45,e5fb8,ක්‍රිව 02 වැනි සියවසේ දී,m
45c93ba660,1575e,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,f
45ed68f492,25717,මංගල කරුණු 38 ටද,m
45f78b9e4d,dd43a,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,m
4659152e54,ab81c,මාර්තු මස 08 වැනිදා,f
4767acd51d,8e63d,මීළඟ පෝය නොවැම්බර් 24 වනදා බ්‍රහස්පතින්දාය,f
4a32e19c6a,b8589,අඩි 1 අඟල් 8 ක් උසැති,f
4a4a61f77e,937dc,මහා නිරයන් 08 හි,f
4b1f0d10ea,b9dc2,ජුනි මස 04 වැනි දින,f
4b31a508ec,4f3cd,1964 අගෝස්තු 9 වැනිදා,m
4d81843efd,271cb,මීළඟ පෝය පෙබරවාරි 06 වැනි දා බ්‍රහස්පතින්දාය,m
4dd5d2eeb0,8b124,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f
4df6482682,a7d05,ලෝකෝත්තර මාර්ග සිත් 04 යි,f
4ef7af8eb6,2d52b,අඟහරුවාදා අපරභාග 0422 ට ලබයි,f
5038690be3,1575e,2012 වසර වන විට,f
519dcd6eb3,15cf5,මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය,f
51e2b58b5b,409ee,එම බත කොටස් 3 කට බෙදී,m
5238e718e9,02f82,පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි,m
5256ceb725,ffa9f,පෙබරවාරි 29 වන දා,f
5271403c39,b7163,2004 දෙසැම්බර් 26 වැනි දා,f
53f415c8e4,d2f72,මාර්තු 07 වැනි දා බදාදා,m
546e359a9c,cf582,අනෙක් අතට පික්සල් 1080ක්ද ඇත,m
5480b67d92,4b1d7,සැප්තැම්බර් මස 22 වැනි දා සෙනසුරාදා,m
5508e38948,a4315,සක්මනේ 20 වෙනි දැක්මයි මේ,f
