utterance_id,speaker_id,utterance,gender,utterance_words
55fb819253,0622a,වර්ෂ 1933 දී ආරම්භ කළ,f,වර්ෂ එක් දහස් නමසිය තිස් තුනේ දී ආරම්භ කළ
5604794890,b3dda,එම ටීකා ග්‍රන්ථද 2600,f
560e6b5750,9a1ed,කිලෝමීටර් 260 ක් දුරින්,f
5799949047,1575e,මෙකී 24 ආකාර මූලධර්ම වලින්,f
5abea5fb45,02578,මීට අමතරව කාම ලෝක 11 ට අයත් දිව්‍ය ලෝකවල,f
5ad4204b0a,71b3e,ග්‍රන්ථ වශයෙන් 57 කම,f
5b199dcfbc,3a976,බුද්ධ වර්ෂ 382 දී,m
5c5d7d06d5,0e353,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m
5c78adaf57,7d7d0,ජුනි මස 04 වැනි දින,f
5d32cb32a2,47746,මිළඟ පෝය සැප්තැම්බර් 12 වැනිදා බ්‍රහස්පතින්දා ය,f
5ec5b2ded2,91403,තිබූ රුපියල් 250ක් වූ මුදල,m
5f424f25a7,190e9,එදිනම අපරභාග 1036 දක්වා,f
5f6625dc53,c26ed,1905 තරම් වූ වකවානුවක,f
604fc52d8e,781cf,සම්පත් 04 ක් ගැන කියැවේ,m
610da501ed,b3dda,එනම් වර්ෂ 1890 දී,f
61126f50b8,54c3a,එවන් ගාථා 423 ක්,f
640d9670d4,30661,පැය 4 ක් පාගමනින් ගොස්,f
64d6f7846b,52dbc,මිළඟ පෝය සැප්තැම්බර් 12 වැනිදා බ්‍රහස්පතින්දා ය,m
65520f5f24,f0b2e,එදිනම අපරභාග 1141 දක්වා,m
6644ea6690,ab81c,ලෝකෝත්තර මාර්ග සිත් 04 යි,f
66fd461f52,f32c3,පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි,f
67762ed69f,0c839,නොවැම්බර් මස 02 වන දිනට යෙදී ඇත,m
678c17e527,e3235,මාර්තු 07 වැනි දා බදාදා,m
68adc4826c,1b014,ජුනි 10 වන දා අඟහරුවාදා පූර්ව භාග 825 ට ලබයි,m
68cc37f222,1ccf9,බිලියන 2 කට අධික,m
693330746e,effa6,මැයි මස 16 වන දා,m
697df934d9,462e8,නාමමාත්‍රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,f
6a37ebb371,88a58,මාර්තු මස 30 වැනි දා,f
6adf1fa1fd,2bc1e,මීළඟ පෝය නොවැම්බර් 20 වැනි දා අඟහරුවාදාය,f
6bd6c5f302,08a49,මින්නේරියට සැතැපුම් 14 ක් උතුරින් පිහිටා ඇත,f
6c6db1dcdf,ec9a8,එනම් 1අඤ්ඤදත්ථු හර,f
6f3d34e025,f0098,මීලඟ පෝය අප්‍රේල් 25 වැනි දා බ්‍රහස්පතින්දාය,m
6fd12d8b8d,cf582,වසරකට රුපියල් 500 සිට,m
7043d39fdf,a7c07,ක්‍රිව 02 වැනි සියවසේ දී,m
708952c206,df38e,එකල පැවිදි ශිෂ්‍යයන් 142 නමක්,f
7279c88bea,3062b,ඉරිදා අපරභාග 810 ට ලබයි,m
73c0dd9db2,7ba10,මීළඟ පෝය පෙබරවාරි 22 වැනි දා සෙනසුරාදා ය,m
73d538def1,3062b,වසර 99 ක් ගතවුව ද,m
7428d5f280,45feb,ක්‍රිව 1 හෝ 2 සියවස් වල රචිත බව පිළිගැනේ,m
7466467dc4,7d7d0,අපරභාග 0212 ට ලබයි,f
7602bf3e60,81570,1905 තරම් වූ වකවානුවක,f
76a8eb7280,02b89,මෙම දරුවා උපත ලැබුයේ 1965 ජනවාරි 9 වෙනිදාය,m
76da0c1a37,53c73,මාර්තු 07 වැනි දා බදාදා,m
76f7a50218,effa6,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,m
774b3e0dcf,b3dda,පූර්ව භාග 841 ට ලබයි,f
77598e2b7d,ddb8f,අඩි 80 පමණ උසයි,f
785f952304,bb0e6,පැය 4 ක් පාගමනින් ගොස්,f
788f3dfcf1,d316f,බුද්ධත්වයෙන් වසර 5 කට පසුව,f
79688ac58f,6054f,එම සූත්‍ර 186 ම,f
79e8a5aaa5,a4315,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,f
7a180abf11,a9c56,වර්තමාන ස්තූපයේ උස අඩි 192 කි,f
7a8e71475c,8af52,අවුරුදු 45 ක තොරතුරු ජාතක හා සූත්‍ර හැඳින්වීම්වලද,f
7ab1879978,be485,මෙම පදනම බිහිවූයේ 1994 ජනවාරි 12 වැනිදා ය,f
7abefebd61,ec9a8,අපරභාග 0134 දක්වා පෝය පවතී,f
7aeafce856,6c5e8,බදාදා 0539 ට ලබයි,m
7da68dad84,b3777,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,m
7db709a01c,f40d9,මාර්තු මස 23 වැනිදා,m
7def5407ea,30661,එක් කොටසකට සිත් 8 බැගින්,f
7e5977594f,0184c,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,f
7ea38f313e,be173,අද එම ගාථා 1000 නැත,f
7ec7c1df66,237ce,1983 වර්ෂය පමණ වන විට,f
7ecb70637c,9125c,අඩි 11 අඟල් 4 ක් උස,f
7f014f5842,05d76,මාර්තු මස 23 වැනිදා,f
7f991881bd,c696a,6 ශ්‍රේණියේ සිට ඉහළට,m
8000ff0b87,55c20,සෙනසුරාදා අපරභාග 919 ට ලබයි,m
801364662c,88a58,මෙම වග්ගයේ සූත්‍ර 24 කින් කායගතාසතිය වැඩීම,f
80882ba9fe,2d52b,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,f
81370d00fb,91fdf,සූත්‍ර පිටකය නැවත ප්‍රධාන කොටස් 05කට,f
81c68fb468,fb100,පෙබරවාරි මස 14 දා,f
8225c6f11e,c8784,එනම් වර්ෂ 1890 දී,f
8333b5d807,646e1,අපහාස නොකළ යුතුය3,f
83a6d38cec,23e9e,කැඩී බිඳී ශේෂව ගිය නටබුන් අක්කර 12 ක පමණ,f
83b39f5b1b,c26e2,අඟහරුවාදා අපරභාග 1123 ට ලබයි,f
843049e3a8,8af52,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්‍රහස්පතින්දා ය,f
84f7dd8c52,0b370,වර්ෂ 2500 සපිරීමේ,m
859cbd855a,5afae,බිලියන 2 කට අධික,f
85a635154f,1575e,මීළඟ පෝය ඔක්තෝබර් 25 වන දා බ්‍රහස්පතින්දා ය,f
861bfd5a15,f3efc,මීට අමතරව කාම ලෝක 11 ට අයත් දිව්‍ය ලෝකවල,f
86a58e045e,4f068,සැප්තැම්බර් මස 22 වැනි දා සෙනසුරාදා,f
86cf2b3d43,babec,6 ශ්‍රේණියේ සිට ඉහළට,m
87ff92f694,45f15,සිහිපත් කරනවා නම් 1,f
886a626f10,0b586,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්‍රහස්පතින්දා ය,f
890df38baa,045af,අප්‍රේල් මාසයේ 13 හෝ 14,f
8970bc1f5e,1afa7,ඒවා වර්ග 26 කට ගොනු,m
898987f449,89130,එදිනම අපරභාග 1007 දක්වා,f
89a91d43c2,2bc1e,අවුරුදු 18 ක් බව නිකාය සංග්‍රහයේ සඳහන් වේ,f
8c6e955e15,f9563,ඉරිදා අපරභාග 810 ට ලබයි,m
8d00de302f,51515,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,m
8d099118a1,c26e2,සම්පත් 04 ක් ගැන කියැවේ,f
8d12379d59,d1b3d,මාර්තු මස 08 වැනිදා,f
8d7cd6c9b6,0184c,මෙම 25 වන දා,f
8e55d363ce,9e6d1,ඒවා වර්ග 26 කට ගොනු,m
8e7d948e9f,e8ec1,මහා නිරයන් 08 හි,m
8ef226af7e,23c9f,81 වැනි වරටත්,m
8ef7c0b3f5,c28da,සෙනසුරාදා අපරභාග 919 ට ලබයි,m
8f90951be8,bae1a,මුහුදු මට්ටමටත් වඩා මීටර් 418ක් පහළින් පිහිටි,m
8f95a11ae9,4e81e,රුපියල් 1825 දක්වා ප්‍රමාණයක් වැඩිවේ,f
907f335484,a624d,අපරභාග 0134 දක්වා පෝය පවතී,m
915f9d87ea,6c5e8,එමෙන්ම 1994 සිට ගිහි පැවිදි විද්වතුන්ගේ,m
9182d178b9,309ce,12 වන සියවසේ රචිත අමාවතුර ගද්‍ය කාව්‍යයේ දැක්වේ,m
91e9322866,d6ab0,කොළ 40 ක් ගනු ලබනවා,f
92a788180a,016b5,ජුනි 7 වනදා ඉරිදාය,f
930bf4b435,b06d1,සියවස් 5 කට පසුව,m
936868d71c,d4fa9,1905 තරම් වූ වකවානුවක,f
94650b72d0,c6f6b,මාර්තු මස 08 වැනිදා,f
95e870a700,6b5e6,එකී ආසන ක්‍රමයෙන් නිරූපිත මුද්‍රාව වන්නේ 1,m
95fca9bd4b,9094b,1940 ජුනි මස 06 වන දින,f
972f2e12c5,64af4,බක් අමාවක පෝය අප්‍රේල් 24 වන දා සිකුරාදා පූර්ව භාග 1048 ට ලබයි,m
9768e6654b,f200a,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,m
97755e4586,4801b,එවන් ගාථා 423 ක්,f
97c2c70664,ae3ff,නාමමාත්‍රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,m
98ce602b0c,b8589,මෙම පිළිම 4 න් නැගෙනහිර දිශාවට මුහුණ ලා ඇති පිළිමය,f
99868518c5,bba51,මූල පණ්ණාසකය සූත්‍ර 50 කින් යුක්ත වේ,m
9a690d5ec4,b8a97,පැවැතිය යුතු උතුම් ගුණාංග 10 ක් විය,f
9be2e58fc3,ee9b8,උසින් අඩි 44 ක් පමණ වන ඡුක්ඛන්දී ස්ථූපය,m
9c04e985c6,3fcd4,උසින් අඩි 34 ක් පමණ වන,f
9c3adcc6a7,1a1f3,උසින් අඩි 34 ක් පමණ වන,m
9d7af13998,9e6d1,1854 නොවැම්බර් මස 27වන දිනදීය,m
9ddf49d258,dd6f8,නම් එම භික්ෂුව1,m
9df1fb67e6,7b332,එබඳු දක්‍ෂතා 03 ක් පිළිබඳව,m
9e4204eb21,09537,මාර්තු මස 19 වැනි දා,f
9ec87a101e,290a8,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,m
9f00675bff,c26ed,පැය 8ක් පමණ වන බවයි,f
9f45585c1e,be843,මීළඟ පෝය ඔක්තෝබර් මස 18 වෙනිදා සිකුරාදා ය,m
9f88965f9d,d2f72,1915 දෙසැම්බර් 31 වනදා පින්වත්,m
a0d35e9e38,b3777,මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය,m
a0da7bc7a9,0e353,එබැවින් 2013 වසර තුළ,m
a17767f20b,c094f,මෙම 25 වන දා,m
a1c451b3a6,2a1cd,රුපියල් 1825 දක්වා ප්‍රමාණයක් වැඩිවේ,m
a1f40a7226,25717,එවකට මෙහි උස අඩි 400 ක් පමණ වන බව සඳහන් වේ,m
a2ba00c631,a3fac,මීළඟ පෝය අප්‍රේල් මස 18 වැනිදා බ්‍රහස්පතින්දා ය,f
a2f80d1ee1,b3a0c,බිලියන 2 කට අධික,f
a3e4caee89,3062b,මෙම පෙරහර 1907 වනතෙක්ම දුරුතු මසදී පැවැත්වූ,m
