original,correction
අගොස්තුවැනිදා,අගෝස්තු වැනි දා
අගෝස්තුවැනිදා,අගෝස්තු වැනි දා
අඟහරුවාදා,අඟහරුවාදා
අටවැනිදා,අටවැනි දා
අතනොදා,අත නොදා
අත්හදා,අත්හදා
අදවැනිදා,අද වැනි දා
අනිද්දා,අනිද්දා
අමන්දා,අමන්දා
අස්වද්දා,අස්වද්දා
ආපදා,ආපදා
ඇද්දා,ඇද්දා
ඇන්දා,ඇන්දා
ඇවිද්දා,ඇවිද්දා
ඉකුත්දා,ඉකුත් දා
ඉකුත්වැනිදා,ඉකුත් වැනි දා
ඉකුත්වෙනිදා,ඉකුත් වෙනි දා
ඉරිදා,ඉරිදා
ඊයේදා,ඊයේ දා
උදා,උදා
උපන්දා,උපන් දා
උපසම්පදා,උපසම්පදා
එදා,එදා
එදාවැනිදා,එදා වැනි දා
එදිනදා,එදිනෙදා
එදිනෙදා,එදිනෙදා
එබන්දා,එබන් දා
කවදා,කවදා
කිසිදා,කිසිදා
ගම්උදා,ගම් උදා
ගියදා,ගියදා
චන්දා,චන්දා
ජයවර්ධනජුනිවැනිදා,ජයවර්ධන ජුනි වැනි දා
තේරුණදා,තේරුණ දා
දදා,දදා
දළදා,දළදා
දා,දා
දායකයාදා,දායකයා ද
දුක්වින්දා,දුක් වින්දා
නන්දා,නන්දා
නර්මදා,නර්මදා
නාලන්දා,නාලන්දා
නැන්දා,නැන්දා
නෑන්දා,නෑන්දා
නිදා,නිදා
නින්දා,නින්දා
නොදා,නොදා
නොබෝදා,නොබෝ දා
නොයොදා,නො යොදා
නොරිදා,නො රිදා
නොවිසදා,නො විසදා
පටිපදා,පටිපදා
පරදා,පරදා
පලමුවෙනිදා,පලමුවෙනි දා
පසුගියදා,පසුගිය දා
පසුදා,පසු දා
පහදා,පහදා
පහුගියවෙනිදා,පහුගිය වෙනි දා
පහුවදා,පහුව දා
පහුවෙනිදා,පහු වෙනි දා
ප්‍රතිපදා,ප්‍රතිපදා
පාදා,පාදා
පැවිද්දා,පැවිද්දා
පිසදා,පිසදා
පුදා,පුදා
පෙබරවාරිවනදා,පෙබරවාරි වන දා
පෙරදා,පෙර දා
පෙරේදා,පෙරේදා
පොහෝදා,පොහෝ දා
පෝදා,පෝදා
බදා,බදා
බදාදා,බදාදා
බ්‍රහස්පතින්දා,බ්‍රහස්පතින්දා
බාගදා,බාගදා
බැන්දා,බැන්දා
බෙදා,බෙදා
බෙදාහදා,බෙදා හදා
මංදා,මන්දා
මන්දා,මන්දා
මාර්තුදා,මාර්තු දා
මාසේවනදා,මාසේ වන දා
මැයිවෙනිදා,මැයි වෙනි දා
මිගදා,මිගදා
මුදා,මුදා
මෙදා,මෙදා
යොදා,යොදා
රදා,රඳා
ලද්දා,ලද්දා
ලබනවැනිදා,ලබන වැනි දා
වටදා,වට දා
වනදා,වන දා
වරද්දා,වරද්දා
වැද්දා,වැද්දා
වැනිදා,වැනි දා
වැඳපුදා,වැඳපු දා
විද්දා,විද්දා
වින්දා,වින්දා
විසදා,විසදා
වෙදා,වෙදා
වෙනදා,වෙන දා
වෙනිදා,වෙනි දා
වෙළෙන්දා,වෙළෙන්දා
ශනිදා,ශනිදා
සදා,සදා
සදුදා,සඳුදා
සඳුදා,සඳුදා
සාදා,සාදා
සැප්තැම්බර්වැනිදා,සැප්තැම්බර් වැනි දා
සැමදා,සැමදා
සිකුරාදා,සිකුරාදා
සිදුවූදා,සිදුවූ දා
සුද්දා,සුද්දා
සෙනසුරාදා,සෙනසුරාදා
සෝදා,සෝදා
හංදා,හංදා
හත්වැනිදා,හත්වැනි දා
හද්දා,හද්දා
හදා,හදා
හන්දා,හන්දා
හමුදා,හමුදා
හයවැනිදා,හයවැනි දා
හැමදා,හැමදා
හැරදා,හැරදා
හිංදා,හින්දා
හින්දා,හින්දා
හොදා,හොඳා
