utterance_id,speaker_id,utterance,gender,utterance_corrected
0027e2e160,60ae5,ඉරිදා අපරභාග 810 ට ලබයි,m,ඉරිදා අපරභාග අටයි දහයට ලබයි
0125acf64c,715da,මීළඟ පෝය සැප්තැම්බර් 15 වැනි දා සෙනසුරාදාය,f,මීළඟ පෝය සැප්තැම්බර් පහළොස්වෙනි දා සෙනසුරාදා ය
01a76fde41,a742b,මී ළඟ පෝය ජනවාරි 14 වන දා බ්‍රහස්පතින්දා ය,m,මීළඟ පෝය ජනවාරි දාහතරවන දා බ්‍රහස්පතින්දා ය
02478a3f8a,c1715,7 2 කෘතියෙහි 338 පිටුවෙහි ය,m,හැත්ත දෙක කෘතියෙහි තුන්සිය තිස් අට පිටුවෙහි ය
0316b44759,8af08,මීළඟ පෝය ජනවාරි මස 05 වැනි දා සෙනසුරාදා ය,m,මීළඟ පෝය ජනවාරි මස පස්වන දා සෙනසුරාදා ය
038cd7f443,252fd,මාර්තු 19 වන දා සෙනසුරාදා,f,මාර්තු දහ නමවන දා සෙනසුරාදා
04269c37b9,91403,අඩි 1 අඟල් 8 ක් උසැති,m,අඩි එකයි අඟල් අටක් උසැති
04838f74ec,95997,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,f,මීළඟ පෝය අගෝස්තු මස හයවැනි දා අඟහරුවාදා ය
048e9cfaae,b9679,විදුලි බල්බ 30000 කින් සමන්විත වේ,m,විදුලි බල්බ තිස්දාහකින් සමන්විත වේ
04bb411d89,f9563,මැයි මස 16 වන දා,m,මැයි මස දාසයවන දා
05ccb06518,1575e,අප්‍රේල් 13 වැනිදා සිකුරාදා පූර්ව භාග 0451 ට ලබයි,f,අප්‍රේල් දහ තුන්වෙනි දා සිකුරාදා පූර්වභාග හතරයි පනස් එකට ලබයි
06230d9dca,92637,මීළඟ පෝය මැයි මස 13 වනදා බ්‍රහස්පතින්දාය,f,මීළඟ පෝය මැයි මස දහ තුන්වන දා බ්‍රහස්පතින්දා ය
06c5f73c24,7ab05,මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය,f,මීළඟ පෝය නොවැම්බර් හයවැනි දා අඟහරුවාදා ය
06f3efb695,3eb66,පූර්ව භාග 841 ට ලබයි,f,පූර්වභාග අටයි හතළිස් එකට ලබයි
0733ae88ca,4f068,මුල් පියවර 04 අසාර්ථක වූ විට,f,මුල් පියවර හතර අසාර්ථක වූ විට
