utterance_id,speaker_id,utterance,gender,utterance_corrected
55fb819253,0622a,වර්ෂ 1933 දී ආරම්භ කළ,f,වර්ෂ එක්දාස් නමසිය තිස් තුනේ දී ආරම්භ කළ
5604794890,b3dda,එම ටීකා ග්‍රන්ථද 2600,f,එම ටීකා ග්‍රන්ථද දෙදාස් හයසීය
560e6b5750,9a1ed,කිලෝමීටර් 260 ක් දුරින්,f,කිලෝමීටර් දෙසිය හැටක් දුරින්
5799949047,1575e,මෙකී 24 ආකාර මූලධර්ම වලින්,f,මෙකී විසි හතර ආකාර මූලධර්ම වලින්
5abea5fb45,02578,මීට අමතරව කාම ලෝක 11 ට අයත් දිව්‍ය ලෝකවල,f,මීට අමතරව කාම ලෝක එකොළහට අයත් දිව්‍ය ලෝකවල
5ad4204b0a,71b3e,ග්‍රන්ථ වශයෙන් 57 කම,f,ග්‍රන්ථ වශයෙන් පනස් හතකම
5b199dcfbc,3a976,බුද්ධ වර්ෂ 382 දී,m,බුද්ධ වර්ෂ තුන්සිය අසූ දෙකේ දී
5c5d7d06d5,0e353,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m,එක්දාස් නමසිය හැට හතරේ දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි
5c78adaf57,7d7d0,ජුනි මස 04 වැනි දින,f,ජූනි මස හතර වැනි දින
5d32cb32a2,47746,මීළඟ පෝය සැප්තැම්බර් 12 වැනිදා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය සැප්තැම්බර් දොළොස් වැනිදා බ්‍රහස්පතින්දා ය
5ec5b2ded2,91403,තිබූ රුපියල් 250ක් වූ මුදල,m,තිබූ රුපියල් දෙසිය පනහක් වූ මුදල
5f424f25a7,190e9,එදිනම අපරභාග 1036 දක්වා,f,එදිනම අපරභාග දහයයි තිස් හය දක්වා
5f6625dc53,c26ed,1905 තරම් වූ වකවානුවක,f,එක්දාස් නමසිය පහ තරම් වූ වකවානුවක
610da501ed,b3dda,එනම් වර්ෂ 1890 දී,f,එනම් වර්ෂ එක්දාස් අටසිය අනූවේ දී
61126f50b8,54c3a,එවන් ගාථා 423 ක්,f,එවන් ගාථා හාරසිය විසි තුන
640d9670d4,30661,පැය 4 ක් පාගමනින් ගොස්,f,පැය හතරක් පාගමනින් ගොස්
64d6f7846b,52dbc,මීළඟ පෝය සැප්තැම්බර් 12 වැනිදා බ්‍රහස්පතින්දා ය,m,මීළඟ පෝය සැප්තැම්බර් දොළොස් වැනිදා බ්‍රහස්පතින්දා ය
65520f5f24,f0b2e,එදිනම අපරභාග 1141 දක්වා,m,එදිනම අපරභාග එකොළහයි හතලිස් එක දක්වා
6644ea6690,ab81c,ලෝකෝත්තර මාර්ග සිත් 04 යි,f,ලෝකෝන්තර මාර්ග සිත් හතර යි
67762ed69f,0c839,නොවැම්බර් මස 02 වන දිනට යෙදී ඇත,m,නොවැම්බර් මස දෙවන දිනට යෙදී ඇත
678c17e527,e3235,මාර්තු 07 වැනි දා බදාදා,m,මාර්තු හත්වැනි දා බදාදා
68adc4826c,1b014,ජුනි 10 වන දා අඟහරුවාදා පූර්ව භාග 825 ට ලබයි,m,ජූනි දහවන දා අඟහරුවාදා පූර්ව භාග අටයි විසි පහට ලබයි
68cc37f222,1ccf9,බිලියන 2 කට අධික,m,බිලියන දෙකකට අධික
693330746e,effa6,මැයි මස 16 වන දා,m,මැයි මස දාසය වන දා
697df934d9,462e8,නාමමාත්‍රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,f,නාමමාත්‍රික වශයෙන් හෝ එක්දාස් නමසිය හතළිස් අට වසරේ දී අප වෙත ලබා දීමයි
6a37ebb371,88a58,මාර්තු මස 30 වැනි දා,f,මාර්තු මස තිස් වැනි දා
6adf1fa1fd,2bc1e,මීළඟ පෝය නොවැම්බර් 20 වැනි දා අඟහරුවාදාය,f,මීළඟ පෝය නොවැම්බර් විසිවැනි දා අඟහරුවාදා ය
6bd6c5f302,08a49,මින්නේරියට සැතැපුම් 14 ක් උතුරින් පිහිටා ඇත,f,මින්නේරියට සැතැපුම් දාහතරක් උතුරින් පිහිටා ඇත
6c6db1dcdf,ec9a8,එනම් 1අඤ්ඤදත්ථු හර,f,එනම් එක අඤ්ඤදත්ථු හර
6f3d34e025,f0098,මීලඟ පෝය අප්‍රේල් 25 වැනි දා බ්‍රහස්පතින්දාය,m,මීලඟ පෝය අප්‍රේල් විසි පස්වැනි දා බ්‍රහස්පතින්දා ය
6fd12d8b8d,cf582,වසරකට රුපියල් 500 සිට,m,වසරකට රුපියල් පන්සීය සිට
7043d39fdf,a7c07,ක්‍රිව 02 වැනි සියවසේ දී,m,ක්‍රිස්තු වර්ෂ දෙවැනි සියවසේ දී
708952c206,df38e,එකල පැවිදි ශිෂ්‍යයන් 142 නමක්,f,එකල පැවිදි ශිෂ්‍යයන් එකසිය හතළිස් දෙනමක්
7279c88bea,3062b,ඉරිදා අපරභාග 810 ට ලබයි,m,ඉරිදා අපරභාග අටයි දහයට ලබයි
73c0dd9db2,7ba10,මීළඟ පෝය පෙබරවාරි 22 වැනි දා සෙනසුරාදා ය,m,මීළඟ පෝය පෙබරවාරි විසි දෙවැනි දා සෙනසුරාදා ය
73d538def1,3062b,වසර 99 ක් ගතවුව ද,m,වසර අනූ නවයක් ගත වුවද
7428d5f280,45feb,ක්‍රිව 1 හෝ 2 සියවස් වල රචිත බව පිළිගැනේ,m,ක්‍රිස්තු වර්ෂ එක හෝ දෙවන සියවස් වල රචිත බව පිළිගැනේ
7466467dc4,7d7d0,අපරභාග 0212 ට ලබයි,f,අපරභාග දෙකයි දොළොහට ලබයි
