utterance_id,speaker_id,utterance,gender,utterance_corrected
a44c5b694e,357e6,මේ මස 15 වැනි දා රද්දොළුගම ශ්‍රී බෝධිමළුවේ දී,f,මේ මස පහළොස්වෙනි දා රද්දොළුගම ශ්‍රී බෝධිමළුවේ දී
a4cf43f007,3d532,මිහින්තලයද එසේම අඩි 350ක් උස,f,මිහින්තලය ද එසේම අඩි තුන්සිය පනහක් උස
a4e64d22df,a742b,මීළඟ පෝය මැයි මස 06 වන දා බ්‍රහස්පතින්දා ය,m,මීළඟ පෝය මැයි මස හයවන දා බ්‍රහස්පතින්දා ය
a55650bc02,dca20,අපරභාග 0138 දක්වා පෝය පවතී,m,අපරභාග එකයි තිස් අට දක්වා පෝය පවතී
a656c41d2c,08a49,වර්ෂ 1933 දී ආරම්භ කළ,f,වර්ෂ එක්දාස් නමසිය තිස් තුනේ දී ආරම්භ කළ
a7870835dd,3dd78,දැනට වර්ෂ 13 කට පමණ පෙර,m,දැනට වර්ෂ දහ තුනකට පමණ පෙර
a84ebcc1ac,e6e7b,පැය 4 ක් පාගමනින් ගොස්,f,පැය හතරක් පාගමනින් ගොස්
a84f93cb73,f8790,මාර්තු 01 සෙනසුරාදා,m,මාර්තු පළවෙනි සෙනසුරාදා
a8a71fe1a8,c696a,ඉකුත් 01 වැනි දා සිට 08 වැනි දා දක්වා පැවැත්වේ,m,ඉකුත් පළවෙනි දා සිට අටවෙනි දා දක්වා පැවැත්වේ
a9950ac7a6,6b5e6,2003 දී ඒවා නිම කළහ,m,දෙදාස් තුනේ දී ඒවා නිම කළහ
a9e340b2d0,b796c,අඩි 60 ක උසකින් සමන්විත වන අතර,m,අඩි හැටක උසකින් සමන්විත වෙන අතර
aa521ea4f6,2e076,මීට අවුරුදු 2601 ට කලින් දිව්‍ය ලෝක තිබුණා,f,මීට අවුරුදු දෙදාස් හයසිය එකට කලින් දිව්‍ය ලෝක තිබුණා
